order_id,customer_id,status,price1,price2,price3,purchase_date,country,category
401,301,Completed,1200.0,1150.0,1180.0,2025-01-10,India,Electronics
402,302,Cancelled,2500.0,2400.0,2450.0,2025-02-15,USA,Electronics
403,303,Pending,800.0,850.0,900.0,2025-03-12,Singapore,Electronics
404,304,Completed,1500.0,1550.0,1600.0,2025-04-20,UK,Electronics
405,305,Cancelled,3200.0,3100.0,3150.0,2025-05-08,Canada,Electronics
406,306,Completed,500.0,550.0,520.0,2025-06-01,India,Electronics
500,336,Completed,4349.55,4554.1,3934.37,2025-04-16,Singapore,Storage
501,594,Completed,989.32,947.12,1032.69,2025-07-08,Singapore,Storage
502,612,Cancelled,2439.71,2334.89,2450.47,2025-07-17,Singapore,Office
503,643,Completed,3887.2,3754.85,4197.18,2025-06-01,Canada,Accessories
504,571,Completed,2546.92,2593.46,2730.96,2025-02-16,Singapore,Storage
505,669,Cancelled,1898.8,1821.54,1947.73,2025-08-21,Singapore,Accessories
506,485,Completed,1443.78,1490.75,1609.21,2025-04-25,India,Storage
507,552,Cancelled,4228.4,4277.48,4402.96,2025-03-16,Singapore,Electronics
508,396,Completed,1319.58,1324.04,1381.15,2025-02-03,Singapore,Storage
509,489,Cancelled,2511.01,2430.8,2425.91,2025-07-07,Singapore,Accessories
510,476,Completed,3000.09,2949.86,3047.27,2025-04-24,Singapore,Storage
511,337,Cancelled,541.76,529.24,576.15,2025-03-14,UK,Storage
512,697,Completed,668.19,684.8,706.3,2025-02-26,Canada,Electronics
513,351,Cancelled,3455.84,3402.39,3594.77,2025-07-08,UK,Office
514,434,Completed,3722.85,3813.5,3746.56,2025-01-22,India,Electronics
515,675,Completed,2452.32,2440.24,2406.41,2025-06-17,India,Office
516,543,Completed,942.83,895.82,942.39,2025-01-22,USA,Networking
517,483,Pending,3982.25,4129.1,3903.28,2025-08-21,USA,Storage
518,332,Completed,2496.57,2280.95,2405.84,2025-08-05,India,Office
519,519,Completed,3889.19,3786.23,3932.43,2025-07-25,India,Office
520,356,Pending,788.44,795.51,825.42,2025-06-05,UK,Electronics
521,376,Completed,875.65,823.6,797.92,2025-02-04,USA,Storage
522,695,Completed,3118.21,3083.56,2782.41,2025-03-25,UK,Office
523,487,Completed,2638.63,3023.06,3183.74,2025-01-20,Singapore,Electronics
524,517,Cancelled,1925.22,1885.24,1830.63,2025-03-06,UK,Networking
525,446,Completed,1045.15,991.03,878.08,2025-08-04,Canada,Electronics
526,348,Completed,3744.18,3768.57,4140.22,2025-06-08,USA,Accessories
527,690,Completed,2952.32,3266.52,3117.2,2025-01-09,USA,Accessories
528,685,Completed,1738.22,1724.61,1753.48,2025-08-17,USA,Accessories
529,373,Completed,2401.45,2248.0,2324.0,2025-01-11,India,Office
530,638,Completed,2786.75,2968.73,3080.21,2025-08-03,Canada,Accessories
531,464,Pending,3835.23,3870.37,3568.65,2025-01-23,USA,Networking
532,313,Completed,1105.11,1083.94,1232.35,2025-07-19,India,Electronics
533,318,Cancelled,3976.06,3897.61,3973.97,2025-03-16,India,Accessories
534,673,Completed,1006.38,1038.78,889.18,2025-02-25,India,Electronics
535,671,Completed,1318.97,1296.94,1417.91,2025-05-20,Singapore,Storage
536,630,Completed,4666.79,4553.81,4525.51,2025-01-30,India,Office
537,503,Completed,1717.65,1657.88,1661.35,2025-08-18,Singapore,Accessories
538,360,Pending,1045.56,1057.49,1291.62,2025-01-26,Singapore,Networking
539,373,Cancelled,2549.96,2474.65,2586.62,2025-07-13,Canada,Storage
540,415,Completed,1470.15,1458.19,1363.42,2025-07-11,Canada,Accessories
541,601,Completed,2121.25,2240.45,2268.36,2025-04-10,Singapore,Accessories
542,410,Cancelled,1488.65,1407.01,1641.91,2025-03-01,UK,Office
543,652,Pending,1072.4,1165.09,1096.41,2025-05-23,India,Office
544,666,Cancelled,1709.71,1698.27,1545.44,2025-02-09,Canada,Office
545,583,Cancelled,645.56,660.78,727.53,2025-02-11,India,Electronics
546,631,Cancelled,4425.02,4265.37,4458.67,2025-05-02,USA,Networking
547,655,Pending,3027.67,3086.08,2959.41,2025-03-01,USA,Accessories
548,670,Cancelled,4233.91,4289.53,4540.09,2025-01-25,UK,Networking
549,635,Completed,4906.03,4790.36,4987.23,2025-08-05,Canada,Networking
550,546,Cancelled,2865.91,2887.77,3285.47,2025-02-02,Singapore,Storage
551,613,Completed,1625.73,1595.5,1403.18,2025-06-03,USA,Storage
552,542,Completed,2085.41,2051.15,2082.11,2025-03-30,USA,Accessories
553,394,Pending,4615.2,5014.95,5587.62,2025-08-16,USA,Storage
554,684,Cancelled,4100.2,4039.4,4141.69,2025-06-06,Canada,Office
555,371,Cancelled,3596.07,3561.79,3966.76,2025-02-18,Singapore,Electronics
556,549,Completed,4705.32,4689.57,4343.66,2025-01-21,Singapore,Office
557,463,Completed,4057.53,3851.87,3939.01,2025-07-07,UK,Office
